,interaction_name,pathway_name,ligand,receptor,agonist,antagonist,co_A_receptor,co_I_receptor,evidence,annotation
WNT5B_FZD7_2,wnt5b - fzd7a,ncWNT,wnt5b,fzd7a,,,ncWNT activation receptor,,KEGG: mmu04310,Secreted Signaling
WNT5B_FZD8_1,wnt5b - fzd8a,ncWNT,wnt5b,fzd8a,,,ncWNT activation receptor,,KEGG: mmu04310,Secreted Signaling
WNT5B_FZD8_2,wnt5b - fzd8b,ncWNT,wnt5b,fzd8b,,,ncWNT activation receptor,,KEGG: mmu04310,Secreted Signaling
WNT5B_FZD9_1,wnt5b - fzd9b,ncWNT,wnt5b,fzd9b,,,ncWNT activation receptor,,KEGG: mmu04310,Secreted Signaling
WNT5B_FZD9_2,wnt5b - fzd9a,ncWNT,wnt5b,fzd9a,,,ncWNT activation receptor,,KEGG: mmu04310,Secreted Signaling
WNT11_FZD1,wnt11 - fzd1,ncWNT,wnt11,fzd1,,,ncWNT activation receptor,,KEGG: mmu04310,Secreted Signaling
WNT11_FZD10,wnt11 - fzd10,ncWNT,wnt11,fzd10,,,ncWNT activation receptor,,KEGG: mmu04310,Secreted Signaling
WNT11_FZD2,wnt11 - fzd2,ncWNT,wnt11,fzd2,,,ncWNT activation receptor,,KEGG: mmu04310,Secreted Signaling
WNT11_FZD3_1,wnt11 - fzd3b,ncWNT,wnt11,fzd3b,,,ncWNT activation receptor,,KEGG: mmu04310,Secreted Signaling
WNT11_FZD3_2,wnt11 - fzd3a,ncWNT,wnt11,fzd3a,,,ncWNT activation receptor,,KEGG: mmu04310,Secreted Signaling
WNT11_FZD4,wnt11 - fzd4,ncWNT,wnt11,fzd4,,,ncWNT activation receptor,,KEGG: mmu04310,Secreted Signaling
WNT11_FZD5,wnt11 - fzd5,ncWNT,wnt11,fzd5,,,ncWNT activation receptor,,KEGG: mmu04310,Secreted Signaling
WNT11_FZD6,wnt11 - fzd6,ncWNT,wnt11,fzd6,,,ncWNT activation receptor,,KEGG: mmu04310,Secreted Signaling
WNT11_FZD7_1,wnt11 - fzd7b,ncWNT,wnt11,fzd7b,,,ncWNT activation receptor,,KEGG: mmu04310,Secreted Signaling
WNT11_FZD7_2,wnt11 - fzd7a,ncWNT,wnt11,fzd7a,,,ncWNT activation receptor,,KEGG: mmu04310,Secreted Signaling
WNT11_FZD8_1,wnt11 - fzd8a,ncWNT,wnt11,fzd8a,,,ncWNT activation receptor,,KEGG: mmu04310,Secreted Signaling
WNT11_FZD8_2,wnt11 - fzd8b,ncWNT,wnt11,fzd8b,,,ncWNT activation receptor,,KEGG: mmu04310,Secreted Signaling
WNT11_FZD9_1,wnt11 - fzd9b,ncWNT,wnt11,fzd9b,,,ncWNT activation receptor,,KEGG: mmu04310,Secreted Signaling
WNT11_FZD9_2,wnt11 - fzd9a,ncWNT,wnt11,fzd9a,,,ncWNT activation receptor,,KEGG: mmu04310,Secreted Signaling
EGF_EGFR,egf - egfra,EGF,egf,egfra,,,,,KEGG: mmu04012,Secreted Signaling
TGFA_EGFR,tgfa - egfra,EGF,tgfa,egfra,,,,,KEGG: mmu04012,Secreted Signaling
BTC_EGFR,btc - egfra,EGF,btc,egfra,,,,,KEGG: mmu04012,Secreted Signaling
BTC_ERBB4_1,btc - erbb4a,EGF,btc,erbb4a,,,,,KEGG: mmu04012,Secreted Signaling
BTC_ERBB4_2,btc - si:ch73-383l1.1,EGF,btc,si:ch73-383l1.1,,,,,KEGG: mmu04012,Secreted Signaling
BTC_ERBB4_3,btc - erbb4b,EGF,btc,erbb4b,,,,,KEGG: mmu04012,Secreted Signaling
HBEGF_EGFR_1,hbegfb - egfra,EGF,hbegfb,egfra,,,,,KEGG: mmu04012,Secreted Signaling
HBEGF_EGFR_2,hbegfa - egfra,EGF,hbegfa,egfra,,,,,KEGG: mmu04012,Secreted Signaling
HBEGF_ERBB4_1,hbegfb - erbb4a,EGF,hbegfb,erbb4a,,,,,KEGG: mmu04012,Secreted Signaling
HBEGF_ERBB4_2,hbegfb - si:ch73-383l1.1,EGF,hbegfb,si:ch73-383l1.1,,,,,KEGG: mmu04012,Secreted Signaling
HBEGF_ERBB4_3,hbegfb - erbb4b,EGF,hbegfb,erbb4b,,,,,KEGG: mmu04012,Secreted Signaling
HBEGF_ERBB4_4,hbegfa - erbb4a,EGF,hbegfa,erbb4a,,,,,KEGG: mmu04012,Secreted Signaling
HBEGF_ERBB4_5,hbegfa - si:ch73-383l1.1,EGF,hbegfa,si:ch73-383l1.1,,,,,KEGG: mmu04012,Secreted Signaling
HBEGF_ERBB4_6,hbegfa - erbb4b,EGF,hbegfa,erbb4b,,,,,KEGG: mmu04012,Secreted Signaling
NRG1_ERBB3_1,nrg1 - erbb3a,NRG,nrg1,erbb3a,,,,,KEGG: mmu04012,Secreted Signaling
NRG1_ERBB3_2,nrg1 - erbb3b,NRG,nrg1,erbb3b,,,,,KEGG: mmu04012,Secreted Signaling
NRG1_ERBB4_1,nrg1 - erbb4a,NRG,nrg1,erbb4a,,,,,KEGG: mmu04012,Secreted Signaling
NRG1_ERBB4_2,nrg1 - si:ch73-383l1.1,NRG,nrg1,si:ch73-383l1.1,,,,,KEGG: mmu04012,Secreted Signaling
NRG1_ERBB4_3,nrg1 - erbb4b,NRG,nrg1,erbb4b,,,,,KEGG: mmu04012,Secreted Signaling
NRG2_ERBB3_1,nrg2a - erbb3a,NRG,nrg2a,erbb3a,,,,,KEGG: mmu04012,Secreted Signaling
NRG2_ERBB3_2,nrg2a - erbb3b,NRG,nrg2a,erbb3b,,,,,KEGG: mmu04012,Secreted Signaling
NRG2_ERBB3_3,nrg2b - erbb3a,NRG,nrg2b,erbb3a,,,,,KEGG: mmu04012,Secreted Signaling
NRG2_ERBB3_4,nrg2b - erbb3b,NRG,nrg2b,erbb3b,,,,,KEGG: mmu04012,Secreted Signaling
NRG2_ERBB4_1,nrg2a - erbb4a,NRG,nrg2a,erbb4a,,,,,KEGG: mmu04012,Secreted Signaling
NRG2_ERBB4_2,nrg2a - si:ch73-383l1.1,NRG,nrg2a,si:ch73-383l1.1,,,,,KEGG: mmu04012,Secreted Signaling
NRG2_ERBB4_3,nrg2a - erbb4b,NRG,nrg2a,erbb4b,,,,,KEGG: mmu04012,Secreted Signaling
NRG2_ERBB4_4,nrg2b - erbb4a,NRG,nrg2b,erbb4a,,,,,KEGG: mmu04012,Secreted Signaling
NRG2_ERBB4_5,nrg2b - si:ch73-383l1.1,NRG,nrg2b,si:ch73-383l1.1,,,,,KEGG: mmu04012,Secreted Signaling
NRG2_ERBB4_6,nrg2b - erbb4b,NRG,nrg2b,erbb4b,,,,,KEGG: mmu04012,Secreted Signaling
NRG3_ERBB4_1,nrg3b - erbb4a,NRG,nrg3b,erbb4a,,,,,KEGG: mmu04012,Secreted Signaling
NRG3_ERBB4_2,nrg3b - si:ch73-383l1.1,NRG,nrg3b,si:ch73-383l1.1,,,,,KEGG: mmu04012,Secreted Signaling
NRG3_ERBB4_3,nrg3b - erbb4b,NRG,nrg3b,erbb4b,,,,,KEGG: mmu04012,Secreted Signaling
FGF4_FGFR1_1,fgf4 - fgfr1a,FGF,fgf4,fgfr1a,,,,FGF inhibition receptor,PMC: 4393358,Secreted Signaling
FGF4_FGFR1_2,fgf4 - fgfr1bl,FGF,fgf4,fgfr1bl,,,,FGF inhibition receptor,PMC: 4393358,Secreted Signaling
FGF4_FGFR1_3,fgf4 - fgfr1b,FGF,fgf4,fgfr1b,,,,FGF inhibition receptor,PMC: 4393358,Secreted Signaling
FGF4_FGFR2,fgf4 - fgfr2,FGF,fgf4,fgfr2,,,,FGF inhibition receptor,PMC: 4393358,Secreted Signaling
FGF4_FGFR3,fgf4 - fgfr3,FGF,fgf4,fgfr3,,,,FGF inhibition receptor,PMC: 4393358,Secreted Signaling
FGF5_FGFR1_1,fgf5 - fgfr1a,FGF,fgf5,fgfr1a,,,,FGF inhibition receptor,PMC: 4393358,Secreted Signaling
FGF5_FGFR1_2,fgf5 - fgfr1bl,FGF,fgf5,fgfr1bl,,,,FGF inhibition receptor,PMC: 4393358,Secreted Signaling
FGF5_FGFR1_3,fgf5 - fgfr1b,FGF,fgf5,fgfr1b,,,,FGF inhibition receptor,PMC: 4393358,Secreted Signaling
FGF5_FGFR2,fgf5 - fgfr2,FGF,fgf5,fgfr2,,,,FGF inhibition receptor,PMC: 4393358,Secreted Signaling
FGF5_FGFR3,fgf5 - fgfr3,FGF,fgf5,fgfr3,,,,FGF inhibition receptor,PMC: 4393358,Secreted Signaling
FGF6_FGFR1_1,fgf6a - fgfr1a,FGF,fgf6a,fgfr1a,,,,FGF inhibition receptor,PMC: 4393358,Secreted Signaling
FGF6_FGFR1_2,fgf6a - fgfr1bl,FGF,fgf6a,fgfr1bl,,,,FGF inhibition receptor,PMC: 4393358,Secreted Signaling
FGF6_FGFR1_3,fgf6a - fgfr1b,FGF,fgf6a,fgfr1b,,,,FGF inhibition receptor,PMC: 4393358,Secreted Signaling
FGF6_FGFR1_4,fgf6b - fgfr1a,FGF,fgf6b,fgfr1a,,,,FGF inhibition receptor,PMC: 4393358,Secreted Signaling
FGF6_FGFR1_5,fgf6b - fgfr1bl,FGF,fgf6b,fgfr1bl,,,,FGF inhibition receptor,PMC: 4393358,Secreted Signaling
FGF6_FGFR1_6,fgf6b - fgfr1b,FGF,fgf6b,fgfr1b,,,,FGF inhibition receptor,PMC: 4393358,Secreted Signaling
FGF6_FGFR2_1,fgf6a - fgfr2,FGF,fgf6a,fgfr2,,,,FGF inhibition receptor,PMC: 4393358,Secreted Signaling
FGF6_FGFR2_2,fgf6b - fgfr2,FGF,fgf6b,fgfr2,,,,FGF inhibition receptor,PMC: 4393358,Secreted Signaling
FGF6_FGFR3_1,fgf6a - fgfr3,FGF,fgf6a,fgfr3,,,,FGF inhibition receptor,PMC: 4393358,Secreted Signaling
FGF6_FGFR3_2,fgf6b - fgfr3,FGF,fgf6b,fgfr3,,,,FGF inhibition receptor,PMC: 4393358,Secreted Signaling
FGF7_FGFR1_1,fgf7 - fgfr1a,FGF,fgf7,fgfr1a,,,,FGF inhibition receptor,PMC: 4393358,Secreted Signaling
FGF7_FGFR1_2,fgf7 - fgfr1bl,FGF,fgf7,fgfr1bl,,,,FGF inhibition receptor,PMC: 4393358,Secreted Signaling
FGF7_FGFR1_3,fgf7 - fgfr1b,FGF,fgf7,fgfr1b,,,,FGF inhibition receptor,PMC: 4393358,Secreted Signaling
FGF7_FGFR2,fgf7 - fgfr2,FGF,fgf7,fgfr2,,,,FGF inhibition receptor,PMC: 4393358,Secreted Signaling
FGF3_FGFR1_1,fgf3 - fgfr1a,FGF,fgf3,fgfr1a,,,,FGF inhibition receptor,PMC: 4393358,Secreted Signaling
FGF3_FGFR1_2,fgf3 - fgfr1bl,FGF,fgf3,fgfr1bl,,,,FGF inhibition receptor,PMC: 4393358,Secreted Signaling
FGF3_FGFR1_3,fgf3 - fgfr1b,FGF,fgf3,fgfr1b,,,,FGF inhibition receptor,PMC: 4393358,Secreted Signaling
FGF3_FGFR2,fgf3 - fgfr2,FGF,fgf3,fgfr2,,,,FGF inhibition receptor,PMC: 4393358,Secreted Signaling
FGF10_FGFR1_1,fgf10a - fgfr1a,FGF,fgf10a,fgfr1a,,,,FGF inhibition receptor,PMC: 4393358,Secreted Signaling
FGF10_FGFR1_2,fgf10a - fgfr1bl,FGF,fgf10a,fgfr1bl,,,,FGF inhibition receptor,PMC: 4393358,Secreted Signaling
FGF10_FGFR1_3,fgf10a - fgfr1b,FGF,fgf10a,fgfr1b,,,,FGF inhibition receptor,PMC: 4393358,Secreted Signaling
FGF10_FGFR1_4,fgf10b - fgfr1a,FGF,fgf10b,fgfr1a,,,,FGF inhibition receptor,PMC: 4393358,Secreted Signaling
FGF10_FGFR1_5,fgf10b - fgfr1bl,FGF,fgf10b,fgfr1bl,,,,FGF inhibition receptor,PMC: 4393358,Secreted Signaling
FGF10_FGFR1_6,fgf10b - fgfr1b,FGF,fgf10b,fgfr1b,,,,FGF inhibition receptor,PMC: 4393358,Secreted Signaling
FGF10_FGFR2_1,fgf10a - fgfr2,FGF,fgf10a,fgfr2,,,,FGF inhibition receptor,PMC: 4393358,Secreted Signaling
FGF10_FGFR2_2,fgf10b - fgfr2,FGF,fgf10b,fgfr2,,,,FGF inhibition receptor,PMC: 4393358,Secreted Signaling
FGF22_FGFR2_3,fgf22 - fgfr2,FGF,fgf22,fgfr2,,,,FGF inhibition receptor,PMC: 4393358,Secreted Signaling
FGF8_FGFR1_1,fgf8a - fgfr1a,FGF,fgf8a,fgfr1a,,,,FGF inhibition receptor,PMC: 4393358,Secreted Signaling
FGF8_FGFR1_2,fgf8a - fgfr1bl,FGF,fgf8a,fgfr1bl,,,,FGF inhibition receptor,PMC: 4393358,Secreted Signaling
FGF8_FGFR1_3,fgf8a - fgfr1b,FGF,fgf8a,fgfr1b,,,,FGF inhibition receptor,PMC: 4393358,Secreted Signaling
FGF8_FGFR1_4,fgf8b - fgfr1a,FGF,fgf8b,fgfr1a,,,,FGF inhibition receptor,PMC: 4393358,Secreted Signaling
FGF8_FGFR1_5,fgf8b - fgfr1bl,FGF,fgf8b,fgfr1bl,,,,FGF inhibition receptor,PMC: 4393358,Secreted Signaling
FGF8_FGFR1_6,fgf8b - fgfr1b,FGF,fgf8b,fgfr1b,,,,FGF inhibition receptor,PMC: 4393358,Secreted Signaling
FGF8_FGFR2_1,fgf8a - fgfr2,FGF,fgf8a,fgfr2,,,,FGF inhibition receptor,PMC: 4393358,Secreted Signaling
FGF8_FGFR2_2,fgf8b - fgfr2,FGF,fgf8b,fgfr2,,,,FGF inhibition receptor,PMC: 4393358,Secreted Signaling
FGF8_FGFR3_1,fgf8a - fgfr3,FGF,fgf8a,fgfr3,,,,FGF inhibition receptor,PMC: 4393358,Secreted Signaling
FGF8_FGFR3_2,fgf8b - fgfr3,FGF,fgf8b,fgfr3,,,,FGF inhibition receptor,PMC: 4393358,Secreted Signaling
FGF18_FGFR1_1,fgf18a - fgfr1a,FGF,fgf18a,fgfr1a,,,,FGF inhibition receptor,PMC: 4393358,Secreted Signaling
FGF18_FGFR1_2,fgf18a - fgfr1bl,FGF,fgf18a,fgfr1bl,,,,FGF inhibition receptor,PMC: 4393358,Secreted Signaling
FGF18_FGFR1_3,fgf18a - fgfr1b,FGF,fgf18a,fgfr1b,,,,FGF inhibition receptor,PMC: 4393358,Secreted Signaling
FGF18_FGFR1_4,fgf18b - fgfr1a,FGF,fgf18b,fgfr1a,,,,FGF inhibition receptor,PMC: 4393358,Secreted Signaling
FGF18_FGFR1_5,fgf18b - fgfr1bl,FGF,fgf18b,fgfr1bl,,,,FGF inhibition receptor,PMC: 4393358,Secreted Signaling
FGF18_FGFR1_6,fgf18b - fgfr1b,FGF,fgf18b,fgfr1b,,,,FGF inhibition receptor,PMC: 4393358,Secreted Signaling
FGF18_FGFR2_1,fgf18a - fgfr2,FGF,fgf18a,fgfr2,,,,FGF inhibition receptor,PMC: 4393358,Secreted Signaling
FGF18_FGFR2_2,fgf18b - fgfr2,FGF,fgf18b,fgfr2,,,,FGF inhibition receptor,PMC: 4393358,Secreted Signaling
FGF18_FGFR3_1,fgf18a - fgfr3,FGF,fgf18a,fgfr3,,,,FGF inhibition receptor,PMC: 4393358,Secreted Signaling
FGF18_FGFR3_2,fgf18b - fgfr3,FGF,fgf18b,fgfr3,,,,FGF inhibition receptor,PMC: 4393358,Secreted Signaling
FGF20_FGFR1_1,fgf20a - fgfr1a,FGF,fgf20a,fgfr1a,,,,FGF inhibition receptor,PMC: 4393358,Secreted Signaling
FGF20_FGFR1_2,fgf20a - fgfr1bl,FGF,fgf20a,fgfr1bl,,,,FGF inhibition receptor,PMC: 4393358,Secreted Signaling
FGF20_FGFR1_3,fgf20a - fgfr1b,FGF,fgf20a,fgfr1b,,,,FGF inhibition receptor,PMC: 4393358,Secreted Signaling
FGF20_FGFR1_4,fgf20b - fgfr1a,FGF,fgf20b,fgfr1a,,,,FGF inhibition receptor,PMC: 4393358,Secreted Signaling
FGF20_FGFR1_5,fgf20b - fgfr1bl,FGF,fgf20b,fgfr1bl,,,,FGF inhibition receptor,PMC: 4393358,Secreted Signaling
FGF20_FGFR1_6,fgf20b - fgfr1b,FGF,fgf20b,fgfr1b,,,,FGF inhibition receptor,PMC: 4393358,Secreted Signaling
FGF20_FGFR2_1,fgf20a - fgfr2,FGF,fgf20a,fgfr2,,,,FGF inhibition receptor,PMC: 4393358,Secreted Signaling
FGF20_FGFR2_2,fgf20b - fgfr2,FGF,fgf20b,fgfr2,,,,FGF inhibition receptor,PMC: 4393358,Secreted Signaling
FGF20_FGFR3_1,fgf20a - fgfr3,FGF,fgf20a,fgfr3,,,,FGF inhibition receptor,PMC: 4393358,Secreted Signaling
FGF20_FGFR3_2,fgf20b - fgfr3,FGF,fgf20b,fgfr3,,,,FGF inhibition receptor,PMC: 4393358,Secreted Signaling
FGF16_FGFR1_1,fgf16 - fgfr1a,FGF,fgf16,fgfr1a,,,,FGF inhibition receptor,PMC: 4393358,Secreted Signaling
FGF16_FGFR1_2,fgf16 - fgfr1bl,FGF,fgf16,fgfr1bl,,,,FGF inhibition receptor,PMC: 4393358,Secreted Signaling
FGF16_FGFR1_3,fgf16 - fgfr1b,FGF,fgf16,fgfr1b,,,,FGF inhibition receptor,PMC: 4393358,Secreted Signaling
FGF16_FGFR2,fgf16 - fgfr2,FGF,fgf16,fgfr2,,,,FGF inhibition receptor,PMC: 4393358,Secreted Signaling
FGF16_FGFR3,fgf16 - fgfr3,FGF,fgf16,fgfr3,,,,FGF inhibition receptor,PMC: 4393358,Secreted Signaling
FGF15_FGFR1_1,fgf19 - fgfr1a,FGF,fgf19,fgfr1a,,,FGF activation receptor 2,,PMC: 4393358,Secreted Signaling
FGF15_FGFR1_2,fgf19 - fgfr1bl,FGF,fgf19,fgfr1bl,,,FGF activation receptor 2,,PMC: 4393358,Secreted Signaling
FGF15_FGFR1_3,fgf19 - fgfr1b,FGF,fgf19,fgfr1b,,,FGF activation receptor 2,,PMC: 4393358,Secreted Signaling
FGF15_FGFR2,fgf19 - fgfr2,FGF,fgf19,fgfr2,,,FGF activation receptor 2,,PMC: 4393358,Secreted Signaling
FGF15_FGFR3,fgf19 - fgfr3,FGF,fgf19,fgfr3,,,FGF activation receptor 2,,PMC: 4393358,Secreted Signaling
FGF23_FGFR1_1,fgf23 - fgfr1a,FGF,fgf23,fgfr1a,,,FGF activation receptor 3,,PMC: 4393358,Secreted Signaling
FGF23_FGFR1_2,fgf23 - fgfr1bl,FGF,fgf23,fgfr1bl,,,FGF activation receptor 3,,PMC: 4393358,Secreted Signaling
FGF23_FGFR1_3,fgf23 - fgfr1b,FGF,fgf23,fgfr1b,,,FGF activation receptor 3,,PMC: 4393358,Secreted Signaling
FGF23_FGFR3,fgf23 - fgfr3,FGF,fgf23,fgfr3,,,FGF activation receptor 3,,PMC: 4393358,Secreted Signaling
PDGFA_PDGFRA_1,pdgfab - pdgfra,PDGF,pdgfab,pdgfra,,PDGF antagonist,,,PMID: 15207812,Secreted Signaling
PDGFA_PDGFRA_2,pdgfaa - pdgfra,PDGF,pdgfaa,pdgfra,,PDGF antagonist,,,PMID: 15207812,Secreted Signaling
PDGFA_PDGFRB_1,pdgfab - pdgfrb,PDGF,pdgfab,pdgfrb,,PDGF antagonist,,,PMID: 15207812,Secreted Signaling
PDGFA_PDGFRB_2,pdgfaa - pdgfrb,PDGF,pdgfaa,pdgfrb,,PDGF antagonist,,,PMID: 15207812,Secreted Signaling
PDGFB_PDGFRA_1,pdgfbb - pdgfra,PDGF,pdgfbb,pdgfra,,PDGF antagonist,,,PMID: 15207812,Secreted Signaling
PDGFB_PDGFRA_2,pdgfba - pdgfra,PDGF,pdgfba,pdgfra,,PDGF antagonist,,,PMID: 15207812,Secreted Signaling
PDGFB_PDGFRB_1,pdgfbb - pdgfrb,PDGF,pdgfbb,pdgfrb,,PDGF antagonist,,,PMID: 15207812,Secreted Signaling
PDGFB_PDGFRB_2,pdgfba - pdgfrb,PDGF,pdgfba,pdgfrb,,PDGF antagonist,,,PMID: 15207812,Secreted Signaling
PDGFC_PDGFRA,pdgfc - pdgfra,PDGF,pdgfc,pdgfra,,PDGF antagonist,,,PMID: 15207812,Secreted Signaling
PDGFD_PDGFRB,pdgfd - pdgfrb,PDGF,pdgfd,pdgfrb,,PDGF antagonist,,,PMID: 15207812,Secreted Signaling
VEGFA_VEGFR1_1,vegfaa - flt1,VEGF,vegfaa,flt1,,,,,KEGG: mmu04370; PMID: 16633338,Secreted Signaling
VEGFA_VEGFR1_2,vegfab - flt1,VEGF,vegfab,flt1,,,,,KEGG: mmu04370; PMID: 16633338,Secreted Signaling
VEGFA_VEGFR2_1,vegfaa - kdr,VEGF,vegfaa,kdr,,,VEGF activation receptor,,KEGG: mmu04370; PMID: 16633338,Secreted Signaling
VEGFA_VEGFR2_2,vegfab - kdr,VEGF,vegfab,kdr,,,VEGF activation receptor,,KEGG: mmu04370; PMID: 16633338,Secreted Signaling
VEGFB_VEGFR1_1,vegfbb - flt1,VEGF,vegfbb,flt1,,,,,KEGG: mmu04370; PMID: 16633338,Secreted Signaling
VEGFB_VEGFR1_2,vegfba - flt1,VEGF,vegfba,flt1,,,,,KEGG: mmu04370; PMID: 16633338,Secreted Signaling
VEGFC_VEGFR3,vegfc - flt4,VEGF,vegfc,flt4,,,,,KEGG: mmu04370; PMID: 16633338,Secreted Signaling
VEGFC_VEGFR2,vegfc - kdr,VEGF,vegfc,kdr,,,VEGF activation receptor,,KEGG: mmu04370; PMID: 16633338,Secreted Signaling
VEGFD_VEGFR3,vegfd - flt4,VEGF,vegfd,flt4,,,,,KEGG: mmu04370; PMID: 16633338,Secreted Signaling
VEGFD_VEGFR2,vegfd - kdr,VEGF,vegfd,kdr,,,VEGF activation receptor,,KEGG: mmu04370; PMID: 16633338,Secreted Signaling
PGF_VEGFR1,pgfb - flt1,VEGF,pgfb,flt1,,,,,KEGG: mmu04370; PMID: 16633338,Secreted Signaling
IGF1_IGF1R_1,igf1 - igf1ra,IGF,igf1,igf1ra,,IGF antagonist,,,PMID: 14604834,Secreted Signaling
IGF1_IGF1R_2,igf1 - igf1rb,IGF,igf1,igf1rb,,IGF antagonist,,,PMID: 14604834,Secreted Signaling
IGF2_IGF1R_3,igf2b - igf1ra,IGF,igf2b,igf1ra,,IGF antagonist,,,PMID: 14604834,Secreted Signaling
IGF2_IGF1R_4,igf2b - igf1rb,IGF,igf2b,igf1rb,,IGF antagonist,,,PMID: 14604834,Secreted Signaling
IGF2_IGF1R_5,igf2a - igf1ra,IGF,igf2a,igf1ra,,IGF antagonist,,,PMID: 14604834,Secreted Signaling
IGF2_IGF1R_6,igf2a - igf1rb,IGF,igf2a,igf1rb,,IGF antagonist,,,PMID: 14604834,Secreted Signaling
IGF2_IGF2R_1,igf2b - igf2r,IGF,igf2b,igf2r,,IGF antagonist,,,PMID: 14604834,Secreted Signaling
IGF2_IGF2R_2,igf2a - igf2r,IGF,igf2a,igf2r,,IGF antagonist,,,PMID: 14604834,Secreted Signaling
INS1_INSSR_1,ins - insrb,INSULIN,ins,insrb,INSULIN agonist,,,INSULIN inhibition receptor,KEGG: mmu04910; PMID: 24633815,Secreted Signaling
INS1_INSSR_2,ins - insra,INSULIN,ins,insra,INSULIN agonist,,,INSULIN inhibition receptor,KEGG: mmu04910; PMID: 24633815,Secreted Signaling
INS1_INSSR_3,insb - insrb,INSULIN,insb,insrb,INSULIN agonist,,,INSULIN inhibition receptor,KEGG: mmu04910; PMID: 24633815,Secreted Signaling
INS1_INSSR_4,insb - insra,INSULIN,insb,insra,INSULIN agonist,,,INSULIN inhibition receptor,KEGG: mmu04910; PMID: 24633815,Secreted Signaling
INS2_INSSR_1,ins - insrb,INSULIN,ins,insrb,INSULIN agonist,,,INSULIN inhibition receptor,KEGG: mmu04911; PMID: 24633815,Secreted Signaling
