,interaction_name,pathway_name,ligand,receptor,agonist,antagonist,co_A_receptor,co_I_receptor,evidence,annotation
TGFB3_ACVR1_TGFBR1,Tgfb3  - (Acvr1+Tgfbr1),TGFb,Tgfb3,ACVR1_TGFbR,,,,,PMID: 29376829,Secreted Signaling
BMP2_BMPR1A_ACVR2A,Bmp2  - (Bmpr1a+Acvr2a),BMP,Bmp2,BMPR1A_ACVR2A,,BMP antagonist,,BMP inhibition receptor,KEGG: mmu04350; PMID:26893264,Secreted Signaling
BMP2_BMPR1A_ACVR2B,Bmp2  - (Bmpr1a+Acvr2b),BMP,Bmp2,BMPR1A_ACVR2B,,BMP antagonist,,BMP inhibition receptor,KEGG: mmu04350; PMID:26893264,Secreted Signaling
BMP2_BMPR1A_BMPR2,Bmp2  - (Bmpr1a+Bmpr2),BMP,Bmp2,BMPR1A_BMPR2,,BMP antagonist,,BMP inhibition receptor,KEGG: mmu04350; PMID:26893264,Secreted Signaling
BMP2_BMPR1B_ACVR2A,Bmp2  - (Bmpr1b+Acvr2a),BMP,Bmp2,BMPR1B_ACVR2A,,BMP antagonist,,BMP inhibition receptor,KEGG: mmu04350; PMID:26893264,Secreted Signaling
BMP2_BMPR1B_ACVR2B,Bmp2  - (Bmpr1b+Acvr2b),BMP,Bmp2,BMPR1B_ACVR2B,,BMP antagonist,,BMP inhibition receptor,KEGG: mmu04350; PMID:26893264,Secreted Signaling
BMP2_BMPR1B_BMPR2,Bmp2  - (Bmpr1b+Bmpr2),BMP,Bmp2,BMPR1B_BMPR2,,BMP antagonist,,BMP inhibition receptor,KEGG: mmu04350; PMID:26893264,Secreted Signaling
BMP4_BMPR1A_ACVR2A,Bmp4  - (Bmpr1a+Acvr2a),BMP,Bmp4,BMPR1A_ACVR2A,,BMP antagonist,,BMP inhibition receptor,KEGG: mmu04350; PMID:26893264,Secreted Signaling
BMP4_BMPR1A_ACVR2B,Bmp4  - (Bmpr1a+Acvr2b),BMP,Bmp4,BMPR1A_ACVR2B,,BMP antagonist,,BMP inhibition receptor,KEGG: mmu04350; PMID:26893264,Secreted Signaling
BMP4_BMPR1A_BMPR2,Bmp4  - (Bmpr1a+Bmpr2),BMP,Bmp4,BMPR1A_BMPR2,,BMP antagonist,,BMP inhibition receptor,KEGG: mmu04350; PMID:26893264,Secreted Signaling
BMP4_BMPR1B_ACVR2A,Bmp4  - (Bmpr1b+Acvr2a),BMP,Bmp4,BMPR1B_ACVR2A,,BMP antagonist,,BMP inhibition receptor,KEGG: mmu04350; PMID:26893264,Secreted Signaling
BMP4_BMPR1B_ACVR2B,Bmp4  - (Bmpr1b+Acvr2b),BMP,Bmp4,BMPR1B_ACVR2B,,BMP antagonist,,BMP inhibition receptor,KEGG: mmu04350; PMID:26893264,Secreted Signaling
BMP4_BMPR1B_BMPR2,Bmp4  - (Bmpr1b+Bmpr2),BMP,Bmp4,BMPR1B_BMPR2,,BMP antagonist,,BMP inhibition receptor,KEGG: mmu04350; PMID:26893264,Secreted Signaling
GDF5_BMPR1A_ACVR2A,Gdf5  - (Bmpr1a+Acvr2a),BMP,Gdf5,BMPR1A_ACVR2A,,BMP antagonist,,BMP inhibition receptor,KEGG: mmu04350; PMID:26893264,Secreted Signaling
GDF5_BMPR1A_ACVR2B,Gdf5  - (Bmpr1a+Acvr2b),BMP,Gdf5,BMPR1A_ACVR2B,,BMP antagonist,,BMP inhibition receptor,KEGG: mmu04350; PMID:26893264,Secreted Signaling
GDF5_BMPR1A_BMPR2,Gdf5  - (Bmpr1a+Bmpr2),BMP,Gdf5,BMPR1A_BMPR2,,BMP antagonist,,BMP inhibition receptor,KEGG: mmu04350; PMID:26893264,Secreted Signaling
GDF5_BMPR1B_ACVR2A,Gdf5  - (Bmpr1b+Acvr2a),BMP,Gdf5,BMPR1B_ACVR2A,,BMP antagonist,,BMP inhibition receptor,KEGG: mmu04350; PMID:26893264,Secreted Signaling
GDF5_BMPR1B_ACVR2B,Gdf5  - (Bmpr1b+Acvr2b),BMP,Gdf5,BMPR1B_ACVR2B,,BMP antagonist,,BMP inhibition receptor,KEGG: mmu04350; PMID:26893264,Secreted Signaling
GDF5_BMPR1B_BMPR2,Gdf5  - (Bmpr1b+Bmpr2),BMP,Gdf5,BMPR1B_BMPR2,,BMP antagonist,,BMP inhibition receptor,KEGG: mmu04350; PMID:26893264,Secreted Signaling
GDF6_BMPR1A_ACVR2A,Gdf6  - (Bmpr1a+Acvr2a),BMP,Gdf6,BMPR1A_ACVR2A,,BMP antagonist,,BMP inhibition receptor,KEGG: mmu04350; PMID:26893264,Secreted Signaling
GDF6_BMPR1A_ACVR2B,Gdf6  - (Bmpr1a+Acvr2b),BMP,Gdf6,BMPR1A_ACVR2B,,BMP antagonist,,BMP inhibition receptor,KEGG: mmu04350; PMID:26893264,Secreted Signaling
GDF6_BMPR1A_BMPR2,Gdf6  - (Bmpr1a+Bmpr2),BMP,Gdf6,BMPR1A_BMPR2,,BMP antagonist,,BMP inhibition receptor,KEGG: mmu04350; PMID:26893264,Secreted Signaling
GDF6_BMPR1B_ACVR2A,Gdf6  - (Bmpr1b+Acvr2a),BMP,Gdf6,BMPR1B_ACVR2A,,BMP antagonist,,BMP inhibition receptor,KEGG: mmu04350; PMID:26893264,Secreted Signaling
GDF6_BMPR1B_ACVR2B,Gdf6  - (Bmpr1b+Acvr2b),BMP,Gdf6,BMPR1B_ACVR2B,,BMP antagonist,,BMP inhibition receptor,KEGG: mmu04350; PMID:26893264,Secreted Signaling
GDF6_BMPR1B_BMPR2,Gdf6  - (Bmpr1b+Bmpr2),BMP,Gdf6,BMPR1B_BMPR2,,BMP antagonist,,BMP inhibition receptor,KEGG: mmu04350; PMID:26893264,Secreted Signaling
GDF7_BMPR1A_ACVR2A,Gdf7  - (Bmpr1a+Acvr2a),BMP,Gdf7,BMPR1A_ACVR2A,,BMP antagonist,,BMP inhibition receptor,KEGG: mmu04350; PMID:26893264,Secreted Signaling
GDF7_BMPR1A_ACVR2B,Gdf7  - (Bmpr1a+Acvr2b),BMP,Gdf7,BMPR1A_ACVR2B,,BMP antagonist,,BMP inhibition receptor,KEGG: mmu04350; PMID:26893264,Secreted Signaling
GDF7_BMPR1A_BMPR2,Gdf7  - (Bmpr1a+Bmpr2),BMP,Gdf7,BMPR1A_BMPR2,,BMP antagonist,,BMP inhibition receptor,KEGG: mmu04350; PMID:26893264,Secreted Signaling
GDF7_BMPR1B_ACVR2A,Gdf7  - (Bmpr1b+Acvr2a),BMP,Gdf7,BMPR1B_ACVR2A,,BMP antagonist,,BMP inhibition receptor,KEGG: mmu04350; PMID:26893264,Secreted Signaling
GDF7_BMPR1B_ACVR2B,Gdf7  - (Bmpr1b+Acvr2b),BMP,Gdf7,BMPR1B_ACVR2B,,BMP antagonist,,BMP inhibition receptor,KEGG: mmu04350; PMID:26893264,Secreted Signaling
GDF7_BMPR1B_BMPR2,Gdf7  - (Bmpr1b+Bmpr2),BMP,Gdf7,BMPR1B_BMPR2,,BMP antagonist,,BMP inhibition receptor,KEGG: mmu04350; PMID:26893264,Secreted Signaling
BMP15_BMPR1B_BMPR2,Bmp15  - (Bmpr1b+Bmpr2),BMP,Bmp15,BMPR1B_BMPR2,,BMP antagonist,,BMP inhibition receptor,KEGG: mmu04350; PMID:26893264,Secreted Signaling
BMP5_ACVR1_ACVR2A,Bmp5  - (Acvr1+Acvr2a),BMP,Bmp5,ACVR1_ACVR2A,,BMP antagonist,,BMP inhibition receptor,KEGG: mmu04350; PMID:26893264,Secreted Signaling
BMP5_ACVR1_ACVR2B,Bmp5  - (Acvr1+Acvr2b),BMP,Bmp5,ACVR1_ACVR2B,,BMP antagonist,,BMP inhibition receptor,KEGG: mmu04350; PMID:26893264,Secreted Signaling
BMP5_ACVR1_BMPR2,Bmp5  - (Acvr1+Bmpr2),BMP,Bmp5,ACVR1_BMPR2,,BMP antagonist,,BMP inhibition receptor,KEGG: mmu04350; PMID:26893264,Secreted Signaling
BMP5_BMPR1A_ACVR2A,Bmp5  - (Bmpr1a+Acvr2a),BMP,Bmp5,BMPR1A_ACVR2A,,BMP antagonist,,BMP inhibition receptor,KEGG: mmu04350; PMID:26893264,Secreted Signaling
BMP5_BMPR1A_ACVR2B,Bmp5  - (Bmpr1a+Acvr2b),BMP,Bmp5,BMPR1A_ACVR2B,,BMP antagonist,,BMP inhibition receptor,KEGG: mmu04350; PMID:26893264,Secreted Signaling
BMP5_BMPR1A_BMPR2,Bmp5  - (Bmpr1a+Bmpr2),BMP,Bmp5,BMPR1A_BMPR2,,BMP antagonist,,BMP inhibition receptor,KEGG: mmu04350; PMID:26893264,Secreted Signaling
BMP5_BMPR1B_ACVR2A,Bmp5  - (Bmpr1b+Acvr2a),BMP,Bmp5,BMPR1B_ACVR2A,,BMP antagonist,,BMP inhibition receptor,KEGG: mmu04350; PMID:26893264,Secreted Signaling
BMP5_BMPR1B_ACVR2B,Bmp5  - (Bmpr1b+Acvr2b),BMP,Bmp5,BMPR1B_ACVR2B,,BMP antagonist,,BMP inhibition receptor,KEGG: mmu04350; PMID:26893264,Secreted Signaling
BMP5_BMPR1B_BMPR2,Bmp5  - (Bmpr1b+Bmpr2),BMP,Bmp5,BMPR1B_BMPR2,,BMP antagonist,,BMP inhibition receptor,KEGG: mmu04350; PMID:26893264,Secreted Signaling
BMP6_ACVR1_ACVR2A,Bmp6  - (Acvr1+Acvr2a),BMP,Bmp6,ACVR1_ACVR2A,,BMP antagonist,,BMP inhibition receptor,KEGG: mmu04350; PMID:26893264,Secreted Signaling
BMP6_ACVR1_ACVR2B,Bmp6  - (Acvr1+Acvr2b),BMP,Bmp6,ACVR1_ACVR2B,,BMP antagonist,,BMP inhibition receptor,KEGG: mmu04350; PMID:26893264,Secreted Signaling
BMP6_ACVR1_BMPR2,Bmp6  - (Acvr1+Bmpr2),BMP,Bmp6,ACVR1_BMPR2,,BMP antagonist,,BMP inhibition receptor,KEGG: mmu04350; PMID:26893264,Secreted Signaling
BMP6_BMPR1A_ACVR2A,Bmp6  - (Bmpr1a+Acvr2a),BMP,Bmp6,BMPR1A_ACVR2A,,BMP antagonist,,BMP inhibition receptor,KEGG: mmu04350; PMID:26893264,Secreted Signaling
BMP6_BMPR1A_ACVR2B,Bmp6  - (Bmpr1a+Acvr2b),BMP,Bmp6,BMPR1A_ACVR2B,,BMP antagonist,,BMP inhibition receptor,KEGG: mmu04350; PMID:26893264,Secreted Signaling
BMP6_BMPR1A_BMPR2,Bmp6  - (Bmpr1a+Bmpr2),BMP,Bmp6,BMPR1A_BMPR2,,BMP antagonist,,BMP inhibition receptor,KEGG: mmu04350; PMID:26893264,Secreted Signaling
BMP6_BMPR1B_ACVR2A,Bmp6  - (Bmpr1b+Acvr2a),BMP,Bmp6,BMPR1B_ACVR2A,,BMP antagonist,,BMP inhibition receptor,KEGG: mmu04350; PMID:26893264,Secreted Signaling
BMP6_BMPR1B_ACVR2B,Bmp6  - (Bmpr1b+Acvr2b),BMP,Bmp6,BMPR1B_ACVR2B,,BMP antagonist,,BMP inhibition receptor,KEGG: mmu04350; PMID:26893264,Secreted Signaling
BMP6_BMPR1B_BMPR2,Bmp6  - (Bmpr1b+Bmpr2),BMP,Bmp6,BMPR1B_BMPR2,,BMP antagonist,,BMP inhibition receptor,KEGG: mmu04350; PMID:26893264,Secreted Signaling
BMP7_ACVR1_ACVR2A,Bmp7  - (Acvr1+Acvr2a),BMP,Bmp7,ACVR1_ACVR2A,,BMP antagonist,,BMP inhibition receptor,KEGG: mmu04350; PMID:26893264,Secreted Signaling
BMP7_ACVR1_ACVR2B,Bmp7  - (Acvr1+Acvr2b),BMP,Bmp7,ACVR1_ACVR2B,,BMP antagonist,,BMP inhibition receptor,KEGG: mmu04350; PMID:26893264,Secreted Signaling
BMP7_ACVR1_BMPR2,Bmp7  - (Acvr1+Bmpr2),BMP,Bmp7,ACVR1_BMPR2,,BMP antagonist,,BMP inhibition receptor,KEGG: mmu04350; PMID:26893264,Secreted Signaling
BMP7_BMPR1A_ACVR2A,Bmp7  - (Bmpr1a+Acvr2a),BMP,Bmp7,BMPR1A_ACVR2A,,BMP antagonist,,BMP inhibition receptor,KEGG: mmu04350; PMID:26893264,Secreted Signaling
BMP7_BMPR1A_ACVR2B,Bmp7  - (Bmpr1a+Acvr2b),BMP,Bmp7,BMPR1A_ACVR2B,,BMP antagonist,,BMP inhibition receptor,KEGG: mmu04350; PMID:26893264,Secreted Signaling
BMP7_BMPR1A_BMPR2,Bmp7  - (Bmpr1a+Bmpr2),BMP,Bmp7,BMPR1A_BMPR2,,BMP antagonist,,BMP inhibition receptor,KEGG: mmu04350; PMID:26893264,Secreted Signaling
BMP7_BMPR1B_ACVR2A,Bmp7  - (Bmpr1b+Acvr2a),BMP,Bmp7,BMPR1B_ACVR2A,,BMP antagonist,,BMP inhibition receptor,KEGG: mmu04350; PMID:26893264,Secreted Signaling
BMP7_BMPR1B_ACVR2B,Bmp7  - (Bmpr1b+Acvr2b),BMP,Bmp7,BMPR1B_ACVR2B,,BMP antagonist,,BMP inhibition receptor,KEGG: mmu04350; PMID:26893264,Secreted Signaling
BMP7_BMPR1B_BMPR2,Bmp7  - (Bmpr1b+Bmpr2),BMP,Bmp7,BMPR1B_BMPR2,,BMP antagonist,,BMP inhibition receptor,KEGG: mmu04350; PMID:26893264,Secreted Signaling
BMP8A_ACVR1_ACVR2A,Bmp8a  - (Acvr1+Acvr2a),BMP,Bmp8a,ACVR1_ACVR2A,,BMP antagonist,,BMP inhibition receptor,KEGG: mmu04350; PMID:26893264,Secreted Signaling
BMP8A_ACVR1_ACVR2B,Bmp8a  - (Acvr1+Acvr2b),BMP,Bmp8a,ACVR1_ACVR2B,,BMP antagonist,,BMP inhibition receptor,KEGG: mmu04350; PMID:26893264,Secreted Signaling
BMP8A_ACVR1_BMPR2,Bmp8a  - (Acvr1+Bmpr2),BMP,Bmp8a,ACVR1_BMPR2,,BMP antagonist,,BMP inhibition receptor,KEGG: mmu04350; PMID:26893264,Secreted Signaling
BMP8A_BMPR1A_ACVR2A,Bmp8a  - (Bmpr1a+Acvr2a),BMP,Bmp8a,BMPR1A_ACVR2A,,BMP antagonist,,BMP inhibition receptor,KEGG: mmu04350; PMID:26893264,Secreted Signaling
BMP8A_BMPR1A_ACVR2B,Bmp8a  - (Bmpr1a+Acvr2b),BMP,Bmp8a,BMPR1A_ACVR2B,,BMP antagonist,,BMP inhibition receptor,KEGG: mmu04350; PMID:26893264,Secreted Signaling
BMP8A_BMPR1A_BMPR2,Bmp8a  - (Bmpr1a+Bmpr2),BMP,Bmp8a,BMPR1A_BMPR2,,BMP antagonist,,BMP inhibition receptor,KEGG: mmu04350; PMID:26893264,Secreted Signaling
BMP8A_BMPR1B_ACVR2A,Bmp8a  - (Bmpr1b+Acvr2a),BMP,Bmp8a,BMPR1B_ACVR2A,,BMP antagonist,,BMP inhibition receptor,KEGG: mmu04350; PMID:26893264,Secreted Signaling
BMP8A_BMPR1B_ACVR2B,Bmp8a  - (Bmpr1b+Acvr2b),BMP,Bmp8a,BMPR1B_ACVR2B,,BMP antagonist,,BMP inhibition receptor,KEGG: mmu04350; PMID:26893264,Secreted Signaling
BMP8A_BMPR1B_BMPR2,Bmp8a  - (Bmpr1b+Bmpr2),BMP,Bmp8a,BMPR1B_BMPR2,,BMP antagonist,,BMP inhibition receptor,KEGG: mmu04350; PMID:26893264,Secreted Signaling
BMP8B_ACVR1_ACVR2A,Bmp8b  - (Acvr1+Acvr2a),BMP,Bmp8b,ACVR1_ACVR2A,,BMP antagonist,,BMP inhibition receptor,KEGG: mmu04350; PMID:26893264,Secreted Signaling
BMP8B_ACVR1_ACVR2B,Bmp8b  - (Acvr1+Acvr2b),BMP,Bmp8b,ACVR1_ACVR2B,,BMP antagonist,,BMP inhibition receptor,KEGG: mmu04350; PMID:26893264,Secreted Signaling
BMP8B_ACVR1_BMPR2,Bmp8b  - (Acvr1+Bmpr2),BMP,Bmp8b,ACVR1_BMPR2,,BMP antagonist,,BMP inhibition receptor,KEGG: mmu04350; PMID:26893264,Secreted Signaling
BMP8B_BMPR1A_ACVR2A,Bmp8b  - (Bmpr1a+Acvr2a),BMP,Bmp8b,BMPR1A_ACVR2A,,BMP antagonist,,BMP inhibition receptor,KEGG: mmu04350; PMID:26893264,Secreted Signaling
BMP8B_BMPR1A_ACVR2B,Bmp8b  - (Bmpr1a+Acvr2b),BMP,Bmp8b,BMPR1A_ACVR2B,,BMP antagonist,,BMP inhibition receptor,KEGG: mmu04350; PMID:26893264,Secreted Signaling
BMP8B_BMPR1A_BMPR2,Bmp8b  - (Bmpr1a+Bmpr2),BMP,Bmp8b,BMPR1A_BMPR2,,BMP antagonist,,BMP inhibition receptor,KEGG: mmu04350; PMID:26893264,Secreted Signaling
BMP8B_BMPR1B_ACVR2A,Bmp8b  - (Bmpr1b+Acvr2a),BMP,Bmp8b,BMPR1B_ACVR2A,,BMP antagonist,,BMP inhibition receptor,KEGG: mmu04350; PMID:26893264,Secreted Signaling
BMP8B_BMPR1B_ACVR2B,Bmp8b  - (Bmpr1b+Acvr2b),BMP,Bmp8b,BMPR1B_ACVR2B,,BMP antagonist,,BMP inhibition receptor,KEGG: mmu04350; PMID:26893264,Secreted Signaling
BMP8B_BMPR1B_BMPR2,Bmp8b  - (Bmpr1b+Bmpr2),BMP,Bmp8b,BMPR1B_BMPR2,,BMP antagonist,,BMP inhibition receptor,KEGG: mmu04350; PMID:26893264,Secreted Signaling
BMP10_ACVRL1_BMPR2,Bmp10  - (Acvrl1+Bmpr2),BMP10,Bmp10,ACVRL1_BMPR2,,,BMP10 activation receptor,,KEGG: mmu04350; PMID:26893264; PMID: 25620979,Secreted Signaling
BMP10_ACVRL1_ACVR2A,Bmp10  - (Acvrl1+Acvr2a),BMP10,Bmp10,ACVRL1_ACVR2A,,,BMP10 activation receptor,,KEGG: mmu04350; PMID:26893264; PMID: 25620979,Secreted Signaling
GDF2_ACVRL1_BMPR2,Gdf2  - (Acvrl1+Bmpr2),BMP10,Gdf2,ACVRL1_BMPR2,,,BMP10 activation receptor,,KEGG: mmu04350; PMID:26893264,Secreted Signaling
GDF2_ACVRL1_ACVR2A,Gdf2  - (Acvrl1+Acvr2a),BMP10,Gdf2,ACVRL1_ACVR2A,,,BMP10 activation receptor,,KEGG: mmu04350; PMID:26893264,Secreted Signaling
GDF9_ACVR1B_BMPR2,Gdf9  - (Acvr1b+Bmpr2),GDF,Gdf9,ACVR1B_BMPR2,,,,,KEGG: mmu04350,Secreted Signaling
GDF10_ACVR1B_ACVR2A,Gdf10  - (Acvr1b+Acvr2a),GDF,Gdf10,ACVR1B_ACVR2A,,,,,KEGG: mmu04350,Secreted Signaling
GDF11_TGFBR1_ACVR2A,Gdf11  - (Tgfbr1+Acvr2a),GDF,Gdf11,TGFBR1_ACVR2A,,,,,KEGG: mmu04350,Secreted Signaling
GDF11_TGFBR1_ACVR2B,Gdf11  - (Tgfbr1+Acvr2b),GDF,Gdf11,TGFBR1_ACVR2B,,,,,KEGG: mmu04350,Secreted Signaling
GDF11_ACVR1B_ACVR2B,Gdf11  - (Acvr1b+Acvr2b),GDF,Gdf11,ACVR1B_ACVR2B,,,,,KEGG: mmu04350,Secreted Signaling
GDF15_TGFBR2,Gdf15  - Tgfbr2,GDF,Gdf15,Tgfbr2,,,,,KEGG: mmu04350,Secreted Signaling
MSTN_TGFBR1_ACVR2B,Mstn  - (Tgfbr1+Acvr2b),MSTN,Mstn,TGFBR1_ACVR2B,,,,,KEGG: mmu04060,Secreted Signaling
MSTN_ACVR1B_ACVR2B,Mstn  - (Acvr1b+Acvr2b),MSTN,Mstn,ACVR1B_ACVR2B,,,,,KEGG: mmu04060,Secreted Signaling
MSTN_ACVR1B_ACVR2A,Mstn  - (Acvr1b+Acvr2a),MSTN,Mstn,ACVR1B_ACVR2A,,,,,KEGG: mmu04060,Secreted Signaling
MSTN_TGFBR1_ACVR2A,Mstn  - (Tgfbr1+Acvr2a),MSTN,Mstn,TGFBR1_ACVR2A,,,,,KEGG: mmu04060,Secreted Signaling
AMH_AMHR2_ACVR1,Amh  - (Amhr2+Acvr1),AMH,Amh,AMHR2_ACVR1,,,,,KEGG: mmu04060,Secreted Signaling
AMH_AMHR2_BMPR1A,Amh  - (Amhr2+Bmpr1a),AMH,Amh,AMHR2_BMPR1A,,,,,KEGG: mmu04060,Secreted Signaling
GDNF_GFRA1,Gdnf  - Gfra1,GDNF,Gdnf,GFRA1_RET,,,,,PMID: 11544105,Secreted Signaling
NRTN_GFRA2,Nrtn  - Gfra2,GDNF,Nrtn,GFRA2_RET,,,,,PMID: 11544105,Secreted Signaling
ARTN_GFRA3,Artn  - Gfra3,GDNF,Artn,GFRA3_RET,,,,,PMID: 11544105,Secreted Signaling
PSPN_GFRA4,Pspn  - Gfra4,GDNF,Pspn,GFRA4_RET,,,,,PMID: 11544105,Secreted Signaling
ARTN_GFRA1,Artn  - Gfra1,GDNF,Artn,GFRA1_RET,,,,,PMID: 11544105,Secreted Signaling
NODAL_ACVR1B_ACVR2A,Nodal  - (Acvr1b+Acvr2a),NODAL,Nodal,ACVR1B_ACVR2A_CFC1,NODAL agonist,NODAL antagonist,,,KEGG: mmu04350; PMID: 17287255,Secreted Signaling
NODAL_ACVR1C_ACVR2A,Nodal  - (Acvr1c+Acvr2a),NODAL,Nodal,ACVR1C_ACVR2A_CFC1,NODAL agonist,NODAL antagonist,,,KEGG: mmu04350; PMID: 17287255,Secreted Signaling
NODAL_ACVR1B_ACVR2B,Nodal  - (Acvr1b+Acvr2b),NODAL,Nodal,ACVR1B_ACVR2B_CFC1,NODAL agonist,NODAL antagonist,,,KEGG: mmu04350; PMID: 17287255,Secreted Signaling
NODAL_ACVR1C_ACVR2B,Nodal  - (Acvr1c+Acvr2b),NODAL,Nodal,ACVR1C_ACVR2B_CFC1,NODAL agonist,NODAL antagonist,,,KEGG: mmu04350; PMID: 17287255,Secreted Signaling
GDF1_ACVR1B_ACVR2A,Gdf1  - (Acvr1b+Acvr2a),NODAL,Gdf1,ACVR1B_ACVR2A_CFC1,NODAL agonist,NODAL antagonist,,,KEGG: mmu04350; PMID: 17287255,Secreted Signaling
GDF1_ACVR1B_ACVR2B,Gdf1  - (Acvr1b+Acvr2b),NODAL,Gdf1,ACVR1B_ACVR2B_CFC1,NODAL agonist,NODAL antagonist,,,KEGG: mmu04350; PMID: 17287255,Secreted Signaling
GDF1_ACVR1C_ACVR2A,Gdf1  - (Acvr1c+Acvr2a),NODAL,Gdf1,ACVR1C_ACVR2A_CFC1,NODAL agonist,NODAL antagonist,,,KEGG: mmu04350; PMID: 17287255,Secreted Signaling
GDF1_ACVR1C_ACVR2B,Gdf1  - (Acvr1c+Acvr2b),NODAL,Gdf1,ACVR1C_ACVR2B_CFC1,NODAL agonist,NODAL antagonist,,,KEGG: mmu04350; PMID: 17287255,Secreted Signaling
GDF3_ACVR1B_ACVR2A,Gdf3  - (Acvr1b+Acvr2a),NODAL,Gdf3,ACVR1B_ACVR2A_CFC1,NODAL agonist,NODAL antagonist,,,KEGG: mmu04350; PMID: 17287255,Secreted Signaling
GDF3_ACVR1B_ACVR2B,Gdf3  - (Acvr1b+Acvr2b),NODAL,Gdf3,ACVR1B_ACVR2B_CFC1,NODAL agonist,NODAL antagonist,,,KEGG: mmu04350; PMID: 17287255,Secreted Signaling
GDF3_ACVR1C_ACVR2A,Gdf3  - (Acvr1c+Acvr2a),NODAL,Gdf3,ACVR1C_ACVR2A_CFC1,NODAL agonist,NODAL antagonist,,,KEGG: mmu04350; PMID: 17287255,Secreted Signaling
GDF3_ACVR1C_ACVR2B,Gdf3  - (Acvr1c+Acvr2b),NODAL,Gdf3,ACVR1C_ACVR2B_CFC1,NODAL agonist,NODAL antagonist,,,KEGG: mmu04350; PMID: 17287255,Secreted Signaling
INHBA_ACVR1B_ACVR2A,Inhba  - (Acvr1b+Acvr2a),ACTIVIN,Inhba,ACVR1B_ACVR2A,,ACTIVIN antagonist,,ACTIVIN inhibition receptor,KEGG: mmu04350,Secreted Signaling
INHBA_ACVR1B_ACVR2B,Inhba  - (Acvr1b+Acvr2b),ACTIVIN,Inhba,ACVR1B_ACVR2B,,ACTIVIN antagonist,,ACTIVIN inhibition receptor,KEGG: mmu04350,Secreted Signaling
INHBB_ACVR1B_ACVR2A,Inhbb  - (Acvr1b+Acvr2a),ACTIVIN,Inhbb,ACVR1B_ACVR2A,,ACTIVIN antagonist,,ACTIVIN inhibition receptor,KEGG: mmu04350,Secreted Signaling
INHBB_ACVR1B_ACVR2B,Inhbb  - (Acvr1b+Acvr2b),ACTIVIN,Inhbb,ACVR1B_ACVR2B,,ACTIVIN antagonist,,ACTIVIN inhibition receptor,KEGG: mmu04350,Secreted Signaling
INHBB_ACVR1C_ACVR2A,Inhbb  - (Acvr1c+Acvr2a),ACTIVIN,Inhbb,ACVR1C_ACVR2A,,ACTIVIN antagonist,,ACTIVIN inhibition receptor,KEGG: mmu04350,Secreted Signaling
